incident_number,exposure_number,id,address,incident_date,call_number,alarm_dttm,arrival_dttm,close_dttm,city,zipcode,battalion,station_area,box,suppression_units,suppression_personnel,ems_units,ems_personnel,other_units,other_personnel,first_unit_on_scene,estimated_property_loss,estimated_contents_loss,fire_fatalities,fire_injuries,civilian_fatalities,civilian_injuries,number_of_alarms,primary_situation,mutual_aid,action_taken_primary,action_taken_secondary,action_taken_other,detector_alerted_occupants,property_use,area_of_fire_origin,ignition_cause,ignition_factor_primary,ignition_factor_secondary,heat_source,item_first_ignited,human_factors_associated_with_ignition,structure_type,structure_status,floor_of_fire_origin,fire_spread,no_flame_spread,number_of_floors_with_minimum_damage,number_of_floors_with_significant_damage,number_of_floors_with_heavy_damage,number_of_floors_with_extreme_damage,detectors_present,detector_type,detector_operation,detector_effectiveness,detector_failure_reason,automatic_extinguishing_system_present,automatic_extinguishing_sytem_type,automatic_extinguishing_sytem_perfomance,automatic_extinguishing_sytem_failure_reason,number_of_sprinkler_heads_operating,supervisor_district,neighborhood_district,point,data_as_of,data_loaded_at
06005946,0,060059460,1500 - 1514 Innes Av.,2006-01-21T00:00:00.000,060210359,2006-01-21T20:57:46.000,2006-01-21T21:01:52.000,2006-01-21T21:08:30.000,SF,94124,B10,25,,1,4,0,0,0,0,E25,0,0,0,0,0,0,1,"113 - Cooking fire, confined to container",None,86 - Investigate,,,U - Unknown,"400 - Residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,10,Bayview Hunters Point,POINT (-122.386983 37.738455),2006-01-22T07:12:37.000,2024-04-27T02:16:45.000
06005949,0,060059490,Font Bl. / Gonzalez Dr.,2006-01-21T00:00:00.000,060210363,2006-01-21T21:07:40.000,2006-01-21T21:11:31.000,2006-01-21T21:12:07.000,SF,94122,B08,19,,1,4,0,0,0,0,E19,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,7,Lakeshore,POINT (-122.475918 37.716788),2006-02-01T16:45:58.000,2024-04-27T02:16:45.000
06005955,0,060059550,1390 Market St.,2006-01-21T00:00:00.000,060210369,2006-01-21T21:14:27.000,2006-01-21T21:16:50.000,2006-01-21T21:19:35.000,SF,94102,B02,36,,1,4,0,0,0,0,E36,0,0,0,0,0,0,1,"118 - Trash or rubbish fire, contained",None,11 - Extinguish,,,U - Unknown,"900 - Outside or special property, other",,,,,,,,,,,,,,,,,,,,,,,,,,,6,Tenderloin,POINT (-122.417361 37.777224),2006-01-21T23:20:18.000,2024-04-27T02:16:45.000
06005957,0,060059570,Brady St. / Colton St.,2006-01-21T00:00:00.000,060210372,2006-01-21T21:39:17.000,2006-01-21T21:41:44.000,2006-01-21T21:42:30.000,SF,94102,B02,36,,1,4,0,0,0,0,E36,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,6,Mission,POINT (-122.420404 37.772872),2006-02-21T11:45:16.000,2024-04-27T02:16:45.000
06005967,0,060059670,424 Cole St.,2006-01-21T00:00:00.000,060210385,2006-01-21T22:51:09.000,2006-01-21T22:52:58.000,2006-01-21T23:13:43.000,SF,94117,B05,12,,9,37,1,2,0,0,T12,0,0,0,0,0,0,1,"651 - Smoke scare, odor of smoke",None,86 - Investigate,,,,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Haight Ashbury,POINT (-122.45021849 37.77109397),2006-01-22T00:18:49.000,2024-04-27T02:16:45.000
06005969,0,060059690,1751 Market St.,2006-01-21T00:00:00.000,060210387,2006-01-21T22:52:46.000,2006-01-21T22:58:08.000,2006-01-21T23:14:38.000,SF,94102,B02,36,,3,10,0,0,0,0,E36,0,0,0,0,0,0,1,"730 - System malfunction, other",None,86 - Investigate,,,,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Mission,POINT (-122.42273 37.772316),2006-01-22T07:24:36.000,2024-04-27T02:16:45.000
06005973,0,060059730,Francisco St. / Van Ness Av.,2006-01-21T00:00:00.000,060210391,2006-01-21T23:11:55.000,2006-01-21T23:15:50.000,2006-01-21T23:16:44.000,SF,94123,B04,16,,2,9,0,0,0,0,E16,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,2,Marina,POINT (-122.424924 37.803204),2006-01-22T07:45:49.000,2024-04-27T02:16:45.000
06005987,0,060059870,600 - Blk 12th Av.,2006-01-22T00:00:00.000,060220009,2006-01-22T00:45:48.000,2006-01-22T00:49:11.000,2006-01-22T00:57:01.000,SF,94118,B07,31,,1,4,0,0,0,0,E31,0,0,0,0,0,0,1,"651 - Smoke scare, odor of smoke",None,86 - Investigate,,,2 - Detector did not alert occupants,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,1,Inner Richmond,POINT (-122.471432 37.77683766),2006-01-22T01:01:41.000,2024-04-27T02:16:45.000
06005989,0,060059890,1385 Mission St.,2006-01-22T00:00:00.000,060220011,2006-01-22T00:50:37.000,2006-01-22T00:53:28.000,2006-01-22T00:57:53.000,SF,94117,B02,36,,1,4,0,0,0,0,E36,0,0,0,0,0,0,1,511 - Lock-out,None,52 - Forcible entry,,,,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,6,South of Market,POINT (-122.41536751 37.77536775),2006-01-22T04:00:32.000,2024-04-27T02:16:45.000
06005990,0,060059900,19th St. / Bryant St.,2006-01-22T00:00:00.000,060220012,2006-01-22T00:53:00.000,2006-01-22T00:55:25.000,2006-01-22T01:53:59.000,SF,94110,B02,07,,4,14,3,5,0,0,M07,0,0,0,0,0,0,1,"311 - Medical assist, assist EMS crew",None,"30 - Emergency medical services, other",,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,9,Mission,POINT (-122.409997 37.760486),2006-01-22T06:57:19.000,2024-04-27T02:16:45.000
